Technology ,1st year available (1),size (MW),lead time (years),Base overnight cost (2017 $/kW),Project Contingency Factor (2),Technology Optimisim Factor (3),Total overnight cost (2017 $/kW,Variable O&M (2017 $/MWh),Fixed O&M (2017 $/kW/yr),Heat rate (6) (btu/kWh),nth-of-akind heat rate(btu/kWh)
Coal with 30% carbon CCS,2021 ,650,4,4641,1.07,1.03,5089,7.17,70.70,9750,9221.00
Coal with 90% CCS  ,2021 ,650,4,5132,1.07,1.03,5628,9.70,82.10,11650,9257.00
Conv Gas/Oil Combined ,2020 ,702,3,935,1.05,1.00,982,3.54,11.11,6600,6350.00
Adv Gas/Oil CC ,2020 ,429,3,1026,1.08,1.00,1108,2.02,10.10,6300,6200.00
Adv CC with CCS ,2020 ,340,3,1936,1.08,1.04,2175,7.20,33.75,7525,7493.00
Conv Combustion Turbine (7),2019 ,100,2,1054,1.05,1.00,1107,3.54,17.67,9880,9600.00
Adv Combustion Turbine ,2019 ,237,2,648,1.05,1.00,680,10.81,6.87,9800,8550.00
Fuel Cells ,2020 ,10,3,6192,1.05,1.10,7132,45.64,0.00,9500,6960.00
Adv Nuclear ,2022 ,2234,6,5148,1.10,1.05,5946,2.32,101.28,10460,10460.00
Distributed Generation ‐ Base,2020 ,2,3,1479,1.05,1.00,1553,8.23,18.52,8969,8900.00
Distributed Generation ‐ Peak,2019 ,1,2,1777,1.05,1.00,1866,8.23,18.52,9961,9880.00
Battery Storage ,2018 ,30,1,2067,1.05,1.00,2170,7.12,35.60,N/A ,N/A 
Biomass ,2021 ,50,4,3584,1.07,1.00,3837,5.58,112.15,13500,13500.00
"Geothermal (8,9)",2021 ,50,4,2615,1.05,1.00,2746,0.00,119.87,9271,9271.00
MSW ‐ Landfill Gas ,2020 ,50,3,8170,1.07,1.00,8742,9.29,417.02,18000,18000.00
Conventional Hydropower (9),2021 ,500,4,2634,1.10,1.00,2898,1.33,40.05,9271,9271.00
Wind (10),2020 ,100,3,1548,1.07,1.00,1657,0.00,47.47,9271,9271.00
Wind Offshore (8),2021 ,400,4,4694,1.10,1.25,6454,0.00,78.56,9271,9271.00
Solar Thermal (8),2020 ,100,3,3952,1.07,1.00,4228,0.00,71.41,9271,9271.00
"Solar PV ‐ tracking (8,11)",2019 ,150,2,2004,1.05,1.00,2105,0.00,22.02,9271,9271.00
"Solar PV – fixed tilt(8,11)",2019 ,150,2,1763,1.05,1.00,1651,0.00,22.02,9271,9271.00
