Technology ,(ERCT) ,(FRCC) ,(MROE) ,(MROW) ,(NEWE) ,(NYCW) ,(NYLI) ,(NYUP) ,(RFCE) ,(RFCM) ,(RFCW) ,(SRDA) ,(SRGW) ,(SRSE) ,(SRCE) ,(SRVC) ,(SPNO) ,(SPSO) ,(AZNM) ,(CAMX) ,(NWPP) ,(RMPA) 
Coal with 30% CCS  ,"4,560 ","4,764 ","5,034 ","4,893 ","5,334 ", , ,"4,967 ","5,563 ","5,059 ","5,140 ","4,642 ","5,171 ","4,601 ","4,652 ","4,489 ","4,896 ","4,759 ","4,942 ","5,665 ","5,008 ","4,876 "
Coal with 90% CCS  ,"5,043 ","5,268 ","5,549 ","5,409 ","5,867 ", , ,"5,493 ","6,112 ","5,594 ","5,668 ","5,139 ","5,713 ","5,088 ","5,144 ","4,958 ","5,409 ","5,262 ","5,459 ","6,230 ","5,527 ","5,375 "
Conv Gas/Oil Combined Cycle (CC) ,899 ,928 ,937 ,959 ,"1,091 ","1,583 ","1,583 ","1,109 ","1,162 ",981 ,"1,006 ",896 ,"1,018 ",923 ,901 ,874 ,973 ,938 ,"1,072 ","1,237 ","1,021 ","1,149 "
Adv Gas/Oil CC ,"1,062 ","1,084 ","1,052 ","1,095 ","1,230 ","1,687 ","1,687 ","1,250 ","1,300 ","1,099 ","1,145 ","1,059 ","1,158 ","1,087 ","1,080 ","1,039 ","1,123 ","1,099 ","1,312 ","1,414 ","1,205 ","1,354 "
Adv CC with CCS ,"2,030 ","2,106 ","2,115 ","2,092 ","2,227 ","3,173 ","3,173 ","2,239 ","2,379 ","2,131 ","2,190 ","2,047 ","2,251 ","2,061 ","2,017 ","1,974 ","2,164 ","2,100 ","2,461 ","2,539 ","2,250 ","2,443 "
Conv Combustion Turbine ,"1,063 ","1,104 ","1,052 ","1,095 ","1,149 ","1,558 ","1,558 ","1,134 ","1,217 ","1,096 ","1,122 ","1,077 ","1,143 ","1,107 ","1,058 ","1,047 ","1,118 ","1,096 ","1,278 ","1,271 ","1,159 ","1,330 "
Adv Combustion Turbine ,661 ,683 ,655 ,683 ,737 ,"1,054 ","1,054 ",732 ,794 ,682 ,703 ,670 ,713 ,700 ,658 ,656 ,697 ,685 ,807 ,818 ,727 ,977 
Fuel Cells ,"6,683 ","6,847 ","7,168 ","6,953 ","7,196 ","8,644 ","8,644 ","7,096 ","7,325 ","7,125 ","7,111 ","6,747 ","7,253 ","6,718 ","6,761 ","6,647 ","6,982 ","6,861 ","7,032 ","7,453 ","7,054 ","6,832 "
Adv Nuclear ,"5,702 ","5,785 ","5,987 ","5,860 ","6,195 ", , ,"6,291 ","6,356 ","5,940 ","6,059 ","5,738 ","6,035 ","5,720 ","5,749 ","5,684 ","5,874 ","5,803 ","5,904 ", ,"5,963 ","5,946 "
Distributed Generation ‐ Base ,"1,382 ","1,423 ","1,524 ","1,519 ","1,775 ","2,537 ","2,537 ","1,797 ","1,859 ","1,577 ","1,594 ","1,389 ","1,605 ","1,417 ","1,407 ","1,356 ","1,513 ","1,459 ","1,553 ","1,931 ","1,567 ","1,636 "
Distributed Generation ‐ Peak ,"1,792 ","1,862 ","1,773 ","1,846 ","1,938 ","2,628 ","2,628 ","1,912 ","2,052 ","1,849 ","1,892 ","1,816 ","1,928 ","1,866 ","1,784 ","1,765 ","1,886 ","1,848 ","2,154 ","2,143 ","1,954 ","2,243 "
Battery Storage ,"2,126 ","2,143 ","2,168 ","2,163 ","2,201 ","2,543 ","2,543 ","2,163 ","2,221 ","2,168 ","2,173 ","2,139 ","2,191 ","2,134 ","2,137 ","2,126 ","2,159 ","2,146 ","2,160 ","2,254 ","2,177 ","2,149 "
Biomass ,"3,538 ","3,638 ","3,910 ","3,714 ","3,952 ","4,708 ","4,708 ","3,968 ","4,086 ","3,818 ","3,875 ","3,568 ","3,902 ","3,549 ","3,584 ","3,503 ","3,733 ","3,668 ","3,837 ","4,129 ","3,845 ","3,591 "
Geothermal , , , , , , , , 0, , , , , , , , , , ,"4,070 ","2,802 ","2,746 ", 
MSW ‐ Landfill Gas ,"8,043 ","8,296 ","8,812 ","8,465 ","8,821 ","11,015 ","11,015 ","8,733 ","9,030 ","8,716 ","8,689 ","8,156 ","8,908 ","8,086 ","8,156 ","7,964 ","8,523 ","8,322 ","8,585 ","9,223 ","8,585 ","8,279 "
Conventiol Hydropower , ,"5,165 ", ,"1,694 ","1,904 ", , ,"3,896 ","4,047 ", ,"3,527 ", , ,"4,323 ","1,366 ","1,993 ","1,802 ", ,"3,435 ","3,500 ","2,898 ","3,460 "
Wind ,"1,573 ", ,"2,371 ","1,604 ","2,510 ", ,"2,725 ","2,246 ","2,132 ","2,475 ","1,817 ","2,217 ","1,625 ","2,217 ","2,217 ","2,046 ","1,527 ","1,567 ","2,869 ","2,205 ","1,824 ","1,663 "
Wind Offshore ,"5,893 ","6,454 ","6,493 ","6,524 ","6,622 ","8,268 ","8,268 ","6,396 ","6,622 ","6,422 ","6,493 ","6,454 ", ,"5,931 ", ,"5,828 ", , , ,"6,732 ","6,557 ", 
Solar Thermal ,"3,603 ","3,831 ", , , , , , 0, , , , , , , , , ,"3,878 ","4,152 ","4,727 ","4,178 ","3,894 "
Solar PV ‐ tracking ,"2,220 ","1,798 ","2,114 ","1,917 ","2,471 ","3,282 ","2,103 ","1,988 ","2,333 ","3,050 ","2,020 ","1,917 ","1,673 ","1,684 ","1,423 ","1,762 ","1,473 ","1,904 ","2,266 ","2,383 ","1,493 ","1,957 "
Solar PV – fixed tilt ,"2,081 ","1,685 ","1,982 ","1,797 ","2,316 ","3,076 ","1,970 ","1,863 ","2,186 ","2,859 ","1,893 ","1,797 ","1,568 ","1,578 ","1,333 ","1,651 ","1,381 ","1,785 ","2,124 ","2,233 ","1,399 ","1,834 "
