Zone,County
A,"Chaulauqua, New York"
A,"Cattaraungus, New York"
A,"Erie, New York"
A,"Niagra, New York"
A,"Orleans, New York"
A,"Genessee, New York"
A,"Wyoming, New York"
B,"Allegany, New York"
B,"Livingston, New York"
B,"Monroe, New York"
B,"Wayne, New York"
C,"Steuben, New York"
C,"Ontario, New York"
C,"Yate, New York"
C,"Seneca, New York"
C,"Schuyler, New York"
C,"Chemung, New York"
C,"Tioga, New York"
C,"Tompkins, New York"
C,"Cortland, New York"
C,"Cayuga, New York"
C,"Onodaga, New York"
C,"Oswego, New York"
D,"Franklin, New York"
D,"Clinton, New York"
D,"Essex, New York"
D,"Hamilton, New York"
E,"Saint Lawrence, New York"
E,"Jeferson, New York"
E,"Lewis, New York"
E,"Oneida, New York"
E,"Madison, New York"
E,"Chenango, New York"
E,"Broome, New York"
E,"Deleware, New York"
E,"Ostego, New York"
E,"Herkimer, New York"
E,"Sullivan, New York"
F,"Warren, New York"
F,"Washington, New York"
F,"Saratoga, New York"
F,"Fulton, New York"
F,"Mongtomery, New York"
F,"Schoharie, New York"
F,"Schenectady, New York"
F,"Albany, New York"
F,"Rensselater, New York"
F,"Columbia, New York"
G,"Greene, New York"
G,"Ulster, New York"
G,"Orange, New York"
G,"Dutchess, New York"
G,"Rockland, New York"
H,"Putnam, New York"
I,"Westchester, New York"
J,"Bronx, New York"
J,"New York, New York"
J,"Kings, New York"
J,"Richmond, New York"
J,"Queens, New York"
K,"Nassau, New York"
K,"Suffolk, New York"
