"","ï..Operator","Station.Unit","Zone","PTID","Town","County","State","In.Service.Date","MW..W.","Sum","Win","Sum.1","Win.1","Dual","Unit.Type","Type.1","Type.2","GWH..W.","Notes","Unit.Type.Expanded","State_Name","County_Name","City"
"1","Albany Energy LLC","Albany LFGE","F",323615,"Albany",1,36,"5/1/1998",5.6,4.5,4.5,5.6,5.6,"","IC","MTE","",26.4,"","Internal Combustion","New York","Albany","Albany"
"2","Astoria Energy II LLC","Astoria Energy 2-CC3","J",323677,"Queens",81,36,"7/1/2011",330,288,376.3,286,329.4,"YES","CC","NG","FO2",2568.8,"G","Combined Cycle","New York","Queens","Queens"
"3","Astoria Energy II LLC","Astoria Energy 2-CC4","J",323678,"Queens",81,36,"7/1/2011",330,288,376.3,286,329.4,"YES","CC","NG","FO2",NA,"","Combined Cycle","New York","Queens","Queens"
"4","Astoria Energy LLC","Astoria East Energy -CC1","J",323581,"Queens",81,36,"4/1/2006",320,292.6,355.3,290.9,328.4,"YES","CC","NG","FO2",3251.8,"G","Combined Cycle","New York","Queens","Queens"
"5","Astoria Energy LLC","Astoria East Energy -CC2","J",323582,"Queens",81,36,"4/1/2006",320,292.6,355.3,290.9,328.4,"YES","CC","NG","FO2",NA,"","Combined Cycle","New York","Queens","Queens"
"6","Astoria Generating Co L.P.","Astoria 2","J",24149,"Queens",81,36,"3/1/1954",180,177,177,172.8,170.6,"","ST","NG","",4.1,"","Steam Turbine (Fossil)","New York","Queens","Queens"
"7","Astoria Generating Co L.P.","Astoria 3","J",23516,"Queens",81,36,"9/1/1958",376,369.9,369.9,376.8,374.6,"YES","ST","FO6","NG",274.8,"","Steam Turbine (Fossil)","New York","Queens","Queens"
"8","Astoria Generating Co L.P.","Astoria 5","J",23518,"Queens",81,36,"5/1/1962",387,376.3,376.3,378.4,387.7,"YES","ST","FO6","NG",500.7,"","Steam Turbine (Fossil)","New York","Queens","Queens"
"9","Astoria Generating Co L.P.","Astoria GT 01","J",23523,"Queens",81,36,"7/1/1967",16,15.7,20.5,14,18.9,"","GT","NG","",0.7,"","Combustion Turbine","New York","Queens","Queens"
"10","Astoria Generating Co L.P.","Gowanus 1-1","J",24077,"Brooklyn",47,36,"6/1/1971",20,19.1,24.9,18.7,24.9,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"11","Astoria Generating Co L.P.","Gowanus 1-2","J",24078,"Brooklyn",47,36,"6/1/1971",20,17.1,22.3,19.1,24.9,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"12","Astoria Generating Co L.P.","Gowanus 1-3","J",24079,"Brooklyn",47,36,"6/1/1971",20,17.2,22.5,17.8,23.5,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"13","Astoria Generating Co L.P.","Gowanus 1-4","J",24080,"Brooklyn",47,36,"6/1/1971",20,17.1,22.3,16.2,22,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"14","Astoria Generating Co L.P.","Gowanus 1-5","J",24084,"Brooklyn",47,36,"6/1/1971",20,16.5,21.6,17.2,20.3,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"15","Astoria Generating Co L.P.","Gowanus 1-6","J",24111,"Brooklyn",47,36,"6/1/1971",20,18,23.5,16.3,21,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"16","Astoria Generating Co L.P.","Gowanus 1-7","J",24112,"Brooklyn",47,36,"6/1/1971",20,17.6,23,16.7,24.3,"","GT","FO2","",0.2,"","Combustion Turbine","New York","Kings","Brooklyn"
"17","Astoria Generating Co L.P.","Gowanus 1-8","J",24113,"Brooklyn",47,36,"6/1/1971",20,16.1,21,15.1,21.9,"","GT","FO2","",0.1,"","Combustion Turbine","New York","Kings","Brooklyn"
"18","Astoria Generating Co L.P.","Gowanus 2-1","J",24114,"Brooklyn",47,36,"6/1/1971",20,17.9,23.4,17.1,22.2,"YES","GT","FO2","NG",0.5,"","Combustion Turbine","New York","Kings","Brooklyn"
