"","monthlyLoadPeaks","monthlySummativeLoads","avgMaxTemps","zone","Date","cumNPR_MW","cumSummer","cumWinter","cumNPR_MW_Renewable","cumSummer_Renewable","cumWinter_Renewable","cumNPR_MW_NonRenewable","cumSummer_NonRenewable","cumWinter_NonRenewable","DateTime","upstate"
"1",11909,5364211,53.7302904564315,"A","2011-11",4510.2,3989.9,4051.5,3303.8,2830.4,2829,1206.4,1159.5,1222.5,2011-11-01,"Upstate"
"2",13006,5996160,41.3548387096774,"A","2011-12",4510.2,3989.9,4051.5,3303.8,2830.4,2829,1206.4,1159.5,1222.5,2011-12-01,"Upstate"
"3",13591,6808075,37.0967741935484,"A","2012-01",4510.2,3989.9,4051.5,3303.8,2830.4,2829,1206.4,1159.5,1222.5,2012-01-01,"Upstate"
"4",12399,6139158,36.448275862069,"A","2012-02",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-02-01,"Upstate"
"5",12233,5718149,56.0484522207268,"A","2012-03",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-03-01,"Upstate"
"6",11658,5562962,53.8333333333333,"A","2012-04",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-04-01,"Upstate"
"7",15517,5703817,73.3225806451613,"A","2012-05",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-05-01,"Upstate"
"8",17859,6237270,75.9,"A","2012-06",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-06-01,"Upstate"
"9",19069,7989621,84.0967741935484,"A","2012-07",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-07-01,"Upstate"
"10",17804,6967936,80.6129032258064,"A","2012-08",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-08-01,"Upstate"
"11",15543,5519207,71.5666666666667,"A","2012-09",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-09-01,"Upstate"
"12",11802,5606226,59.1290322580645,"A","2012-10",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-10-01,"Upstate"
"13",12542,5852387,45.551867219917,"A","2012-11",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-11-01,"Upstate"
"14",13408,6583493,41.3225806451613,"A","2012-12",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2012-12-01,"Upstate"
"15",15133,7208885,36.7096774193548,"A","2013-01",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-01-01,"Upstate"
"16",13595,6325249,31.25,"A","2013-02",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-02-01,"Upstate"
"17",12834,6611524,38.3755047106326,"A","2013-03",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-03-01,"Upstate"
"18",11828,5510550,55.8333333333333,"A","2013-04",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-04-01,"Upstate"
"19",15545,5529479,70.8064516129032,"A","2013-05",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-05-01,"Upstate"
"20",15922,5815299,72.4666666666667,"A","2013-06",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-06-01,"Upstate"
"21",19849,7658331,79.4838709677419,"A","2013-07",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-07-01,"Upstate"
"22",15934,6925183,76.9032258064516,"A","2013-08",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-08-01,"Upstate"
"23",18730,6153242,70.2333333333333,"A","2013-09",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-09-01,"Upstate"
"24",12047,5694066,61.9354838709677,"A","2013-10",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-10-01,"Upstate"
"25",13114,6386323,44.1078838174274,"A","2013-11",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-11-01,"Upstate"
"26",14973,7234371,33.8709677419355,"A","2013-12",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2013-12-01,"Upstate"
"27",15656,7927120,26.9032258064516,"A","2014-01",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2014-01-01,"Upstate"
"28",14103,6779606,26.25,"A","2014-02",4525.2,3989.9,4051.5,3318.8,2830.4,2829,1206.4,1159.5,1222.5,2014-02-01,"Upstate"
"29",13447,6887742,35.0578734858681,"A","2014-03",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-03-01,"Upstate"
"30",11339,5574726,55.3333333333333,"A","2014-04",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-04-01,"Upstate"
"31",12308,5727535,65.9677419354839,"A","2014-05",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-05-01,"Upstate"
"32",17726,6742413,77.5333333333333,"A","2014-06",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-06-01,"Upstate"
"33",17561,6941742,75.8064516129032,"A","2014-07",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-07-01,"Upstate"
"34",16362,6933773,76.9354838709677,"A","2014-08",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-08-01,"Upstate"
"35",16701,5873416,71.9,"A","2014-09",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-09-01,"Upstate"
"36",11141,5665206,60.3225806451613,"A","2014-10",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-10-01,"Upstate"
"37",12956,6109067,43.4495159059474,"A","2014-11",4525.8,3989.9,4051.5,3319.4,2830.4,2829,1206.4,1159.5,1222.5,2014-11-01,"Upstate"
